322190.35;"2283504";"29/05/2024";"25/05/2024";3;017419;101686;1;022;059;"002"
181731.65;"2269806";"29/05/2024";"25/05/2024";3;017419;101630;1;024;047;"002"
86834.28;"2259122";"29/05/2024";"25/05/2024";3;017419;101628;1;026;047;"002"
259353.78;"2271522";"29/05/2024";"25/05/2024";3;017419;101738;0;024;059;"002"
384513.27;"2256436";"29/05/2024";"25/05/2024";1;017585;101392;2;026;059;"006"
421794.69;"2213898";"29/05/2024";"25/05/2024";1;017658;;0;035;047;"007"
384853.67;"2296141";"29/05/2024";"25/05/2024";4;017971;101615;1;020;032;"007"
862210.34;"2271617";"29/05/2024";"25/05/2024";4;017971;101593;2;024;034;"007"
176265.56;"2282898";"29/05/2024";"25/05/2024";4;017651;101789;0;022;035;"007"
186421.26;"2252157";"29/05/2024";"25/05/2024";3;017468;101595;0;027;047;"007"
498972.23;"2283704";"29/05/2024";"25/05/2024";3;014955;101721;1;022;034;"007"
379518.94;"2270773";"29/05/2024";"25/05/2024";3;017468;101596;0;024;046;"007"
122208.09;"2271372";"29/05/2024";"25/05/2024";4;014328;101710;1;024;035;"007"
148450.99;"2259216";"29/05/2024";"25/05/2024";2;018022;101624;1;026;047;"007"
92181.32;"2218007";"29/05/2024";"25/05/2024";3;017696;101439;0;034;035;"007"
263191.58;"2283250";"28/05/2024";"25/05/2024";2;018242;101734;0;022;058;"007"
81958.61;"2276837";"28/05/2024";"25/05/2024";2;018242;101733;0;023;059;"007"
40809.18;"2270145";"28/05/2024";"25/05/2024";1;018043;101720;0;024;059;"007"
70585.17;"2283049";"28/05/2024";"25/05/2024";1;018043;101773;0;022;058;"007"
144585.99;"2282840";"28/05/2024";"25/05/2024";2;004411;101539;0;022;058;"007"
148043.52;"2305970";"28/05/2024";"25/05/2024";1;017980;101731;1;019;045;"007"
401357.76;"2248318";"28/05/2024";"25/05/2024";3;012646;101396;1;028;035;"604"
165327.33;"2296598";"28/05/2024";"25/05/2024";2;018517;101801;0;020;057;"604"
